group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 (for),,,,,961700.0,ns,4992
day1 - part1 (for),,,,,1989200.0,ns,9984
day1 - part1 (for),,,,,3054200.0,ns,14976
day1 - part1 (for),,,,,3905600.0,ns,19968
day1 - part1 (for),,,,,4931800.0,ns,24960
day1 - part1 (for),,,,,5937500.0,ns,29952
day1 - part1 (for),,,,,7006400.0,ns,34944
day1 - part1 (for),,,,,7980100.0,ns,39936
day1 - part1 (for),,,,,8889300.0,ns,44928
day1 - part1 (for),,,,,9961000.0,ns,49920
day1 - part1 (for),,,,,10880800.0,ns,54912
day1 - part1 (for),,,,,11851400.0,ns,59904
day1 - part1 (for),,,,,12978500.0,ns,64896
day1 - part1 (for),,,,,13965600.0,ns,69888
day1 - part1 (for),,,,,14874400.0,ns,74880
day1 - part1 (for),,,,,15897800.0,ns,79872
day1 - part1 (for),,,,,16878500.0,ns,84864
day1 - part1 (for),,,,,17928500.0,ns,89856
day1 - part1 (for),,,,,18679300.0,ns,94848
day1 - part1 (for),,,,,19984300.0,ns,99840
day1 - part1 (for),,,,,20910600.0,ns,104832
day1 - part1 (for),,,,,21995600.0,ns,109824
day1 - part1 (for),,,,,22805400.0,ns,114816
day1 - part1 (for),,,,,23832900.0,ns,119808
day1 - part1 (for),,,,,24608300.0,ns,124800
day1 - part1 (for),,,,,25607500.0,ns,129792
day1 - part1 (for),,,,,26653800.0,ns,134784
day1 - part1 (for),,,,,27730100.0,ns,139776
day1 - part1 (for),,,,,28693200.0,ns,144768
day1 - part1 (for),,,,,29884100.0,ns,149760
day1 - part1 (for),,,,,30871200.0,ns,154752
day1 - part1 (for),,,,,31680000.0,ns,159744
day1 - part1 (for),,,,,32519300.0,ns,164736
day1 - part1 (for),,,,,33704300.0,ns,169728
day1 - part1 (for),,,,,34567200.0,ns,174720
day1 - part1 (for),,,,,35487700.0,ns,179712
day1 - part1 (for),,,,,36684600.0,ns,184704
day1 - part1 (for),,,,,37573600.0,ns,189696
day1 - part1 (for),,,,,38569600.0,ns,194688
day1 - part1 (for),,,,,39528800.0,ns,199680
day1 - part1 (for),,,,,40543800.0,ns,204672
day1 - part1 (for),,,,,41729800.0,ns,209664
day1 - part1 (for),,,,,42601600.0,ns,214656
day1 - part1 (for),,,,,43652300.0,ns,219648
day1 - part1 (for),,,,,44412200.0,ns,224640
day1 - part1 (for),,,,,45676500.0,ns,229632
day1 - part1 (for),,,,,46349600.0,ns,234624
day1 - part1 (for),,,,,47742500.0,ns,239616
day1 - part1 (for),,,,,48642500.0,ns,244608
day1 - part1 (for),,,,,49614500.0,ns,249600
day1 - part1 (for),,,,,50504500.0,ns,254592
day1 - part1 (for),,,,,51224400.0,ns,259584
day1 - part1 (for),,,,,52166200.0,ns,264576
day1 - part1 (for),,,,,53090700.0,ns,269568
day1 - part1 (for),,,,,54428600.0,ns,274560
day1 - part1 (for),,,,,55190600.0,ns,279552
day1 - part1 (for),,,,,56141400.0,ns,284544
day1 - part1 (for),,,,,56919000.0,ns,289536
day1 - part1 (for),,,,,58082000.0,ns,294528
day1 - part1 (for),,,,,58899700.0,ns,299520
day1 - part1 (for),,,,,60950600.0,ns,304512
day1 - part1 (for),,,,,62149400.0,ns,309504
day1 - part1 (for),,,,,62869100.0,ns,314496
day1 - part1 (for),,,,,64510600.0,ns,319488
day1 - part1 (for),,,,,64732000.0,ns,324480
day1 - part1 (for),,,,,65860700.0,ns,329472
day1 - part1 (for),,,,,66484100.0,ns,334464
day1 - part1 (for),,,,,67434900.0,ns,339456
day1 - part1 (for),,,,,68902500.0,ns,344448
day1 - part1 (for),,,,,69980300.0,ns,349440
day1 - part1 (for),,,,,70573500.0,ns,354432
day1 - part1 (for),,,,,71159800.0,ns,359424
day1 - part1 (for),,,,,72366100.0,ns,364416
day1 - part1 (for),,,,,73688600.0,ns,369408
day1 - part1 (for),,,,,74710800.0,ns,374400
day1 - part1 (for),,,,,75523100.0,ns,379392
day1 - part1 (for),,,,,76791000.0,ns,384384
day1 - part1 (for),,,,,77172400.0,ns,389376
day1 - part1 (for),,,,,78308900.0,ns,394368
day1 - part1 (for),,,,,79112000.0,ns,399360
day1 - part1 (for),,,,,80415000.0,ns,404352
day1 - part1 (for),,,,,81705000.0,ns,409344
day1 - part1 (for),,,,,83194300.0,ns,414336
day1 - part1 (for),,,,,83665300.0,ns,419328
day1 - part1 (for),,,,,84630500.0,ns,424320
day1 - part1 (for),,,,,84796900.0,ns,429312
day1 - part1 (for),,,,,86161300.0,ns,434304
day1 - part1 (for),,,,,87304400.0,ns,439296
day1 - part1 (for),,,,,87916800.0,ns,444288
day1 - part1 (for),,,,,89742100.0,ns,449280
day1 - part1 (for),,,,,91526100.0,ns,454272
day1 - part1 (for),,,,,91083500.0,ns,459264
day1 - part1 (for),,,,,92493900.0,ns,464256
day1 - part1 (for),,,,,93638500.0,ns,469248
day1 - part1 (for),,,,,95173800.0,ns,474240
day1 - part1 (for),,,,,95626100.0,ns,479232
day1 - part1 (for),,,,,96569600.0,ns,484224
day1 - part1 (for),,,,,97312500.0,ns,489216
day1 - part1 (for),,,,,98275500.0,ns,494208
day1 - part1 (for),,,,,99002600.0,ns,499200
