group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 (for),,,,,1000600.0,ns,5012
day1 - part1 (for),,,,,1968700.0,ns,10024
day1 - part1 (for),,,,,2974600.0,ns,15036
day1 - part1 (for),,,,,3991200.0,ns,20048
day1 - part1 (for),,,,,4994000.0,ns,25060
day1 - part1 (for),,,,,5896100.0,ns,30072
day1 - part1 (for),,,,,6995900.0,ns,35084
day1 - part1 (for),,,,,7992200.0,ns,40096
day1 - part1 (for),,,,,9098000.0,ns,45108
day1 - part1 (for),,,,,9908600.0,ns,50120
day1 - part1 (for),,,,,10943300.0,ns,55132
day1 - part1 (for),,,,,11882900.0,ns,60144
day1 - part1 (for),,,,,12894100.0,ns,65156
day1 - part1 (for),,,,,13741400.0,ns,70168
day1 - part1 (for),,,,,14900600.0,ns,75180
day1 - part1 (for),,,,,15903200.0,ns,80192
day1 - part1 (for),,,,,16801900.0,ns,85204
day1 - part1 (for),,,,,17794900.0,ns,90216
day1 - part1 (for),,,,,18971900.0,ns,95228
day1 - part1 (for),,,,,19871900.0,ns,100240
day1 - part1 (for),,,,,20743700.0,ns,105252
day1 - part1 (for),,,,,21738200.0,ns,110264
day1 - part1 (for),,,,,22539100.0,ns,115276
day1 - part1 (for),,,,,23611900.0,ns,120288
day1 - part1 (for),,,,,24644400.0,ns,125300
day1 - part1 (for),,,,,25726300.0,ns,130312
day1 - part1 (for),,,,,26611200.0,ns,135324
day1 - part1 (for),,,,,27711000.0,ns,140336
day1 - part1 (for),,,,,28434900.0,ns,145348
day1 - part1 (for),,,,,29688200.0,ns,150360
day1 - part1 (for),,,,,30749500.0,ns,155372
day1 - part1 (for),,,,,31838400.0,ns,160384
day1 - part1 (for),,,,,32921700.0,ns,165396
day1 - part1 (for),,,,,33652300.0,ns,170408
day1 - part1 (for),,,,,34885500.0,ns,175420
day1 - part1 (for),,,,,35595800.0,ns,180432
day1 - part1 (for),,,,,36730300.0,ns,185444
day1 - part1 (for),,,,,37641100.0,ns,190456
day1 - part1 (for),,,,,38628400.0,ns,195468
day1 - part1 (for),,,,,39354300.0,ns,200480
day1 - part1 (for),,,,,40329100.0,ns,205492
day1 - part1 (for),,,,,41680400.0,ns,210504
day1 - part1 (for),,,,,42618000.0,ns,215516
day1 - part1 (for),,,,,43431300.0,ns,220528
day1 - part1 (for),,,,,44528600.0,ns,225540
day1 - part1 (for),,,,,45522600.0,ns,230552
day1 - part1 (for),,,,,46890800.0,ns,235564
day1 - part1 (for),,,,,47951600.0,ns,240576
day1 - part1 (for),,,,,48837800.0,ns,245588
day1 - part1 (for),,,,,49491500.0,ns,250600
day1 - part1 (for),,,,,50793400.0,ns,255612
day1 - part1 (for),,,,,51634800.0,ns,260624
day1 - part1 (for),,,,,52868600.0,ns,265636
day1 - part1 (for),,,,,53312300.0,ns,270648
day1 - part1 (for),,,,,54576100.0,ns,275660
day1 - part1 (for),,,,,55520100.0,ns,280672
day1 - part1 (for),,,,,56446200.0,ns,285684
day1 - part1 (for),,,,,57021900.0,ns,290696
day1 - part1 (for),,,,,58112900.0,ns,295708
day1 - part1 (for),,,,,59405800.0,ns,300720
day1 - part1 (for),,,,,60098400.0,ns,305732
day1 - part1 (for),,,,,61000000.0,ns,310744
day1 - part1 (for),,,,,62026100.0,ns,315756
day1 - part1 (for),,,,,62967600.0,ns,320768
day1 - part1 (for),,,,,64462800.0,ns,325780
day1 - part1 (for),,,,,65390800.0,ns,330792
day1 - part1 (for),,,,,66123300.0,ns,335804
day1 - part1 (for),,,,,67386900.0,ns,340816
day1 - part1 (for),,,,,68385400.0,ns,345828
day1 - part1 (for),,,,,70167400.0,ns,350840
day1 - part1 (for),,,,,70896800.0,ns,355852
day1 - part1 (for),,,,,71985600.0,ns,360864
day1 - part1 (for),,,,,72896200.0,ns,365876
day1 - part1 (for),,,,,73441300.0,ns,370888
day1 - part1 (for),,,,,73985800.0,ns,375900
day1 - part1 (for),,,,,75059800.0,ns,380912
day1 - part1 (for),,,,,76040900.0,ns,385924
day1 - part1 (for),,,,,77014600.0,ns,390936
day1 - part1 (for),,,,,78257100.0,ns,395948
day1 - part1 (for),,,,,78932800.0,ns,400960
day1 - part1 (for),,,,,80247200.0,ns,405972
day1 - part1 (for),,,,,81955600.0,ns,410984
day1 - part1 (for),,,,,83713300.0,ns,415996
day1 - part1 (for),,,,,84046300.0,ns,421008
day1 - part1 (for),,,,,85501500.0,ns,426020
day1 - part1 (for),,,,,85234600.0,ns,431032
day1 - part1 (for),,,,,86304900.0,ns,436044
day1 - part1 (for),,,,,87215500.0,ns,441056
day1 - part1 (for),,,,,88306000.0,ns,446068
day1 - part1 (for),,,,,89188700.0,ns,451080
day1 - part1 (for),,,,,90435500.0,ns,456092
day1 - part1 (for),,,,,91004300.0,ns,461104
day1 - part1 (for),,,,,92455600.0,ns,466116
day1 - part1 (for),,,,,93429100.0,ns,471128
day1 - part1 (for),,,,,94529900.0,ns,476140
day1 - part1 (for),,,,,95124200.0,ns,481152
day1 - part1 (for),,,,,96160100.0,ns,486164
day1 - part1 (for),,,,,97188800.0,ns,491176
day1 - part1 (for),,,,,97908400.0,ns,496188
day1 - part1 (for),,,,,98835600.0,ns,501200
