group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 (zip),,,,,985200.0,ns,2434
day1 - part1 (zip),,,,,1957000.0,ns,4868
day1 - part1 (zip),,,,,3000800.0,ns,7302
day1 - part1 (zip),,,,,3915100.0,ns,9736
day1 - part1 (zip),,,,,5005000.0,ns,12170
day1 - part1 (zip),,,,,5871600.0,ns,14604
day1 - part1 (zip),,,,,6949400.0,ns,17038
day1 - part1 (zip),,,,,7864300.0,ns,19472
day1 - part1 (zip),,,,,8886800.0,ns,21906
day1 - part1 (zip),,,,,9856300.0,ns,24340
day1 - part1 (zip),,,,,10902100.0,ns,26774
day1 - part1 (zip),,,,,11896300.0,ns,29208
day1 - part1 (zip),,,,,12796000.0,ns,31642
day1 - part1 (zip),,,,,13933600.0,ns,34076
day1 - part1 (zip),,,,,14964500.0,ns,36510
day1 - part1 (zip),,,,,15960600.0,ns,38944
day1 - part1 (zip),,,,,16906300.0,ns,41378
day1 - part1 (zip),,,,,17818700.0,ns,43812
day1 - part1 (zip),,,,,18714100.0,ns,46246
day1 - part1 (zip),,,,,19944600.0,ns,48680
day1 - part1 (zip),,,,,20692300.0,ns,51114
day1 - part1 (zip),,,,,21705600.0,ns,53548
day1 - part1 (zip),,,,,22740500.0,ns,55982
day1 - part1 (zip),,,,,23718100.0,ns,58416
day1 - part1 (zip),,,,,24579300.0,ns,60850
day1 - part1 (zip),,,,,25626700.0,ns,63284
day1 - part1 (zip),,,,,26628500.0,ns,65718
day1 - part1 (zip),,,,,27538800.0,ns,68152
day1 - part1 (zip),,,,,28599200.0,ns,70586
day1 - part1 (zip),,,,,29588500.0,ns,73020
day1 - part1 (zip),,,,,30572000.0,ns,75454
day1 - part1 (zip),,,,,31840700.0,ns,77888
day1 - part1 (zip),,,,,32577800.0,ns,80322
day1 - part1 (zip),,,,,33553500.0,ns,82756
day1 - part1 (zip),,,,,34485900.0,ns,85190
day1 - part1 (zip),,,,,35613400.0,ns,87624
day1 - part1 (zip),,,,,36520100.0,ns,90058
day1 - part1 (zip),,,,,37850200.0,ns,92492
day1 - part1 (zip),,,,,38664000.0,ns,94926
day1 - part1 (zip),,,,,39428900.0,ns,97360
day1 - part1 (zip),,,,,40436400.0,ns,99794
day1 - part1 (zip),,,,,41398300.0,ns,102228
day1 - part1 (zip),,,,,42499000.0,ns,104662
day1 - part1 (zip),,,,,43299100.0,ns,107096
day1 - part1 (zip),,,,,44293700.0,ns,109530
day1 - part1 (zip),,,,,45310300.0,ns,111964
day1 - part1 (zip),,,,,46712200.0,ns,114398
day1 - part1 (zip),,,,,47879400.0,ns,116832
day1 - part1 (zip),,,,,48729000.0,ns,119266
day1 - part1 (zip),,,,,50124600.0,ns,121700
day1 - part1 (zip),,,,,50810800.0,ns,124134
day1 - part1 (zip),,,,,51435800.0,ns,126568
day1 - part1 (zip),,,,,52725500.0,ns,129002
day1 - part1 (zip),,,,,53366600.0,ns,131436
day1 - part1 (zip),,,,,54493700.0,ns,133870
day1 - part1 (zip),,,,,55577100.0,ns,136304
day1 - part1 (zip),,,,,56346100.0,ns,138738
day1 - part1 (zip),,,,,57521200.0,ns,141172
day1 - part1 (zip),,,,,58453300.0,ns,143606
day1 - part1 (zip),,,,,59345100.0,ns,146040
day1 - part1 (zip),,,,,60225700.0,ns,148474
day1 - part1 (zip),,,,,61273900.0,ns,150908
day1 - part1 (zip),,,,,62283000.0,ns,153342
day1 - part1 (zip),,,,,63145500.0,ns,155776
day1 - part1 (zip),,,,,64097000.0,ns,158210
day1 - part1 (zip),,,,,65208500.0,ns,160644
day1 - part1 (zip),,,,,66141200.0,ns,163078
day1 - part1 (zip),,,,,67157000.0,ns,165512
day1 - part1 (zip),,,,,68033500.0,ns,167946
day1 - part1 (zip),,,,,69554100.0,ns,170380
day1 - part1 (zip),,,,,70240900.0,ns,172814
day1 - part1 (zip),,,,,71606400.0,ns,175248
day1 - part1 (zip),,,,,72379100.0,ns,177682
day1 - part1 (zip),,,,,73353500.0,ns,180116
day1 - part1 (zip),,,,,74034000.0,ns,182550
day1 - part1 (zip),,,,,74810100.0,ns,184984
day1 - part1 (zip),,,,,76042300.0,ns,187418
day1 - part1 (zip),,,,,76922500.0,ns,189852
day1 - part1 (zip),,,,,77995000.0,ns,192286
day1 - part1 (zip),,,,,78833200.0,ns,194720
day1 - part1 (zip),,,,,79897200.0,ns,197154
day1 - part1 (zip),,,,,81009200.0,ns,199588
day1 - part1 (zip),,,,,81708800.0,ns,202022
day1 - part1 (zip),,,,,82875400.0,ns,204456
day1 - part1 (zip),,,,,83877400.0,ns,206890
day1 - part1 (zip),,,,,84514400.0,ns,209324
day1 - part1 (zip),,,,,86227800.0,ns,211758
day1 - part1 (zip),,,,,87211900.0,ns,214192
day1 - part1 (zip),,,,,88430500.0,ns,216626
day1 - part1 (zip),,,,,88989100.0,ns,219060
day1 - part1 (zip),,,,,89771400.0,ns,221494
day1 - part1 (zip),,,,,90633800.0,ns,223928
day1 - part1 (zip),,,,,91738800.0,ns,226362
day1 - part1 (zip),,,,,92742800.0,ns,228796
day1 - part1 (zip),,,,,93776200.0,ns,231230
day1 - part1 (zip),,,,,94721000.0,ns,233664
day1 - part1 (zip),,,,,95484900.0,ns,236098
day1 - part1 (zip),,,,,96524800.0,ns,238532
day1 - part1 (zip),,,,,97411900.0,ns,240966
day1 - part1 (zip),,,,,98304100.0,ns,243400
