group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 (zip),,,,,983000.0,ns,2423
day1 - part1 (zip),,,,,1977900.0,ns,4846
day1 - part1 (zip),,,,,2935600.0,ns,7269
day1 - part1 (zip),,,,,3910600.0,ns,9692
day1 - part1 (zip),,,,,5066400.0,ns,12115
day1 - part1 (zip),,,,,5950200.0,ns,14538
day1 - part1 (zip),,,,,6971600.0,ns,16961
day1 - part1 (zip),,,,,7907100.0,ns,19384
day1 - part1 (zip),,,,,8922100.0,ns,21807
day1 - part1 (zip),,,,,9830900.0,ns,24230
day1 - part1 (zip),,,,,10868300.0,ns,26653
day1 - part1 (zip),,,,,11947200.0,ns,29076
day1 - part1 (zip),,,,,12989700.0,ns,31499
day1 - part1 (zip),,,,,13852500.0,ns,33922
day1 - part1 (zip),,,,,14951600.0,ns,36345
day1 - part1 (zip),,,,,15865200.0,ns,38768
day1 - part1 (zip),,,,,16771100.0,ns,41191
day1 - part1 (zip),,,,,17830200.0,ns,43614
day1 - part1 (zip),,,,,18850100.0,ns,46037
day1 - part1 (zip),,,,,19719500.0,ns,48460
day1 - part1 (zip),,,,,20682700.0,ns,50883
day1 - part1 (zip),,,,,21747300.0,ns,53306
day1 - part1 (zip),,,,,22749200.0,ns,55729
day1 - part1 (zip),,,,,23698700.0,ns,58152
day1 - part1 (zip),,,,,24678900.0,ns,60575
day1 - part1 (zip),,,,,25701900.0,ns,62998
day1 - part1 (zip),,,,,26518300.0,ns,65421
day1 - part1 (zip),,,,,27628600.0,ns,67844
day1 - part1 (zip),,,,,28555400.0,ns,70267
day1 - part1 (zip),,,,,29683800.0,ns,72690
day1 - part1 (zip),,,,,30988500.0,ns,75113
day1 - part1 (zip),,,,,31557400.0,ns,77536
day1 - part1 (zip),,,,,32522500.0,ns,79959
day1 - part1 (zip),,,,,33766900.0,ns,82382
day1 - part1 (zip),,,,,34643300.0,ns,84805
day1 - part1 (zip),,,,,35755900.0,ns,87228
day1 - part1 (zip),,,,,36476000.0,ns,89651
day1 - part1 (zip),,,,,37542300.0,ns,92074
day1 - part1 (zip),,,,,38407000.0,ns,94497
day1 - part1 (zip),,,,,39380600.0,ns,96920
day1 - part1 (zip),,,,,40125100.0,ns,99343
day1 - part1 (zip),,,,,41336200.0,ns,101766
day1 - part1 (zip),,,,,42415500.0,ns,104189
day1 - part1 (zip),,,,,43737400.0,ns,106612
day1 - part1 (zip),,,,,44427700.0,ns,109035
day1 - part1 (zip),,,,,45945200.0,ns,111458
day1 - part1 (zip),,,,,46292000.0,ns,113881
day1 - part1 (zip),,,,,47578400.0,ns,116304
day1 - part1 (zip),,,,,48841000.0,ns,118727
day1 - part1 (zip),,,,,49774400.0,ns,121150
day1 - part1 (zip),,,,,50498700.0,ns,123573
day1 - part1 (zip),,,,,51535600.0,ns,125996
day1 - part1 (zip),,,,,52448400.0,ns,128419
day1 - part1 (zip),,,,,53308100.0,ns,130842
day1 - part1 (zip),,,,,54319000.0,ns,133265
day1 - part1 (zip),,,,,55489700.0,ns,135688
day1 - part1 (zip),,,,,56246800.0,ns,138111
day1 - part1 (zip),,,,,57122600.0,ns,140534
day1 - part1 (zip),,,,,58025000.0,ns,142957
day1 - part1 (zip),,,,,59259100.0,ns,145380
day1 - part1 (zip),,,,,61284900.0,ns,147803
day1 - part1 (zip),,,,,61705300.0,ns,150226
day1 - part1 (zip),,,,,62896000.0,ns,152649
day1 - part1 (zip),,,,,63512500.0,ns,155072
day1 - part1 (zip),,,,,64490000.0,ns,157495
day1 - part1 (zip),,,,,65392500.0,ns,159918
day1 - part1 (zip),,,,,66303000.0,ns,162341
day1 - part1 (zip),,,,,66858700.0,ns,164764
day1 - part1 (zip),,,,,68189600.0,ns,167187
day1 - part1 (zip),,,,,68968500.0,ns,169610
day1 - part1 (zip),,,,,70178700.0,ns,172033
day1 - part1 (zip),,,,,71332100.0,ns,174456
day1 - part1 (zip),,,,,72000800.0,ns,176879
day1 - part1 (zip),,,,,72789000.0,ns,179302
day1 - part1 (zip),,,,,73754100.0,ns,181725
day1 - part1 (zip),,,,,74788800.0,ns,184148
day1 - part1 (zip),,,,,75732100.0,ns,186571
day1 - part1 (zip),,,,,76960300.0,ns,188994
day1 - part1 (zip),,,,,77922600.0,ns,191417
day1 - part1 (zip),,,,,78913300.0,ns,193840
day1 - part1 (zip),,,,,79752200.0,ns,196263
day1 - part1 (zip),,,,,80890800.0,ns,198686
day1 - part1 (zip),,,,,82319100.0,ns,201109
day1 - part1 (zip),,,,,83394400.0,ns,203532
day1 - part1 (zip),,,,,83843700.0,ns,205955
day1 - part1 (zip),,,,,84909600.0,ns,208378
day1 - part1 (zip),,,,,86087500.0,ns,210801
day1 - part1 (zip),,,,,87003900.0,ns,213224
day1 - part1 (zip),,,,,88145500.0,ns,215647
day1 - part1 (zip),,,,,88506400.0,ns,218070
day1 - part1 (zip),,,,,89664600.0,ns,220493
day1 - part1 (zip),,,,,90609200.0,ns,222916
day1 - part1 (zip),,,,,91720600.0,ns,225339
day1 - part1 (zip),,,,,92476100.0,ns,227762
day1 - part1 (zip),,,,,94828600.0,ns,230185
day1 - part1 (zip),,,,,95752500.0,ns,232608
day1 - part1 (zip),,,,,96113300.0,ns,235031
day1 - part1 (zip),,,,,96692600.0,ns,237454
day1 - part1 (zip),,,,,97566100.0,ns,239877
day1 - part1 (zip),,,,,98486800.0,ns,242300
