group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1,,,,,978600.0,ns,4593
day1 - part1,,,,,1955300.0,ns,9186
day1 - part1,,,,,2938700.0,ns,13779
day1 - part1,,,,,3997000.0,ns,18372
day1 - part1,,,,,4895000.0,ns,22965
day1 - part1,,,,,5866900.0,ns,27558
day1 - part1,,,,,6885500.0,ns,32151
day1 - part1,,,,,7876000.0,ns,36744
day1 - part1,,,,,8906000.0,ns,41337
day1 - part1,,,,,9802100.0,ns,45930
day1 - part1,,,,,10788400.0,ns,50523
day1 - part1,,,,,11916000.0,ns,55116
day1 - part1,,,,,12875500.0,ns,59709
day1 - part1,,,,,13853200.0,ns,64302
day1 - part1,,,,,14713000.0,ns,68895
day1 - part1,,,,,15891900.0,ns,73488
day1 - part1,,,,,16843200.0,ns,78081
day1 - part1,,,,,17729900.0,ns,82674
day1 - part1,,,,,18592400.0,ns,87267
day1 - part1,,,,,19556200.0,ns,91860
day1 - part1,,,,,20925100.0,ns,96453
day1 - part1,,,,,21693000.0,ns,101046
day1 - part1,,,,,22667400.0,ns,105639
day1 - part1,,,,,23429900.0,ns,110232
day1 - part1,,,,,24652400.0,ns,114825
day1 - part1,,,,,25620000.0,ns,119418
day1 - part1,,,,,26638500.0,ns,124011
day1 - part1,,,,,27645600.0,ns,128604
day1 - part1,,,,,28643900.0,ns,133197
day1 - part1,,,,,29756500.0,ns,137790
day1 - part1,,,,,30372500.0,ns,142383
day1 - part1,,,,,31287100.0,ns,146976
day1 - part1,,,,,32284800.0,ns,151569
day1 - part1,,,,,33256100.0,ns,156162
day1 - part1,,,,,34245200.0,ns,160755
day1 - part1,,,,,35031800.0,ns,165348
day1 - part1,,,,,36226000.0,ns,169941
day1 - part1,,,,,37286200.0,ns,174534
day1 - part1,,,,,38085000.0,ns,179127
day1 - part1,,,,,39061500.0,ns,183720
day1 - part1,,,,,39884800.0,ns,188313
day1 - part1,,,,,40952300.0,ns,192906
day1 - part1,,,,,41903800.0,ns,197499
day1 - part1,,,,,43044600.0,ns,202092
day1 - part1,,,,,43732900.0,ns,206685
day1 - part1,,,,,44871800.0,ns,211278
day1 - part1,,,,,45924600.0,ns,215871
day1 - part1,,,,,46910700.0,ns,220464
day1 - part1,,,,,48014800.0,ns,225057
day1 - part1,,,,,48976600.0,ns,229650
day1 - part1,,,,,49651700.0,ns,234243
day1 - part1,,,,,51094300.0,ns,238836
day1 - part1,,,,,52063600.0,ns,243429
day1 - part1,,,,,53235000.0,ns,248022
day1 - part1,,,,,54001500.0,ns,252615
day1 - part1,,,,,54673300.0,ns,257208
day1 - part1,,,,,56097100.0,ns,261801
day1 - part1,,,,,56788200.0,ns,266394
day1 - part1,,,,,57579800.0,ns,270987
day1 - part1,,,,,58415000.0,ns,275580
day1 - part1,,,,,59672900.0,ns,280173
day1 - part1,,,,,60623800.0,ns,284766
day1 - part1,,,,,61544400.0,ns,289359
day1 - part1,,,,,62775700.0,ns,293952
day1 - part1,,,,,63881000.0,ns,298545
day1 - part1,,,,,64877900.0,ns,303138
day1 - part1,,,,,65962300.0,ns,307731
day1 - part1,,,,,67485200.0,ns,312324
day1 - part1,,,,,67985400.0,ns,316917
day1 - part1,,,,,68773400.0,ns,321510
day1 - part1,,,,,69695500.0,ns,326103
day1 - part1,,,,,70114000.0,ns,330696
day1 - part1,,,,,71394600.0,ns,335289
day1 - part1,,,,,72496400.0,ns,339882
day1 - part1,,,,,73402000.0,ns,344475
day1 - part1,,,,,75567300.0,ns,349068
day1 - part1,,,,,75782100.0,ns,353661
day1 - part1,,,,,77064600.0,ns,358254
day1 - part1,,,,,77637400.0,ns,362847
day1 - part1,,,,,78944500.0,ns,367440
day1 - part1,,,,,80012800.0,ns,372033
day1 - part1,,,,,80282900.0,ns,376626
day1 - part1,,,,,81560500.0,ns,381219
day1 - part1,,,,,81990900.0,ns,385812
day1 - part1,,,,,82918400.0,ns,390405
day1 - part1,,,,,83815200.0,ns,394998
day1 - part1,,,,,84933500.0,ns,399591
day1 - part1,,,,,85933300.0,ns,404184
day1 - part1,,,,,87040900.0,ns,408777
day1 - part1,,,,,88689000.0,ns,413370
day1 - part1,,,,,89041600.0,ns,417963
day1 - part1,,,,,89588000.0,ns,422556
day1 - part1,,,,,91232800.0,ns,427149
day1 - part1,,,,,92118500.0,ns,431742
day1 - part1,,,,,92915100.0,ns,436335
day1 - part1,,,,,93783200.0,ns,440928
day1 - part1,,,,,94463700.0,ns,445521
day1 - part1,,,,,96006100.0,ns,450114
day1 - part1,,,,,96710800.0,ns,454707
day1 - part1,,,,,97687400.0,ns,459300
