group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 (fold),,,,,978100.0,ns,485
day1 - part2 (fold),,,,,1959300.0,ns,970
day1 - part2 (fold),,,,,2949100.0,ns,1455
day1 - part2 (fold),,,,,4132800.0,ns,1940
day1 - part2 (fold),,,,,4994500.0,ns,2425
day1 - part2 (fold),,,,,5977200.0,ns,2910
day1 - part2 (fold),,,,,7108000.0,ns,3395
day1 - part2 (fold),,,,,7876100.0,ns,3880
day1 - part2 (fold),,,,,9026200.0,ns,4365
day1 - part2 (fold),,,,,9970000.0,ns,4850
day1 - part2 (fold),,,,,10921000.0,ns,5335
day1 - part2 (fold),,,,,11942100.0,ns,5820
day1 - part2 (fold),,,,,12944700.0,ns,6305
day1 - part2 (fold),,,,,14051100.0,ns,6790
day1 - part2 (fold),,,,,14930600.0,ns,7275
day1 - part2 (fold),,,,,15924400.0,ns,7760
day1 - part2 (fold),,,,,17062500.0,ns,8245
day1 - part2 (fold),,,,,18036600.0,ns,8730
day1 - part2 (fold),,,,,19174500.0,ns,9215
day1 - part2 (fold),,,,,19801000.0,ns,9700
day1 - part2 (fold),,,,,20871700.0,ns,10185
day1 - part2 (fold),,,,,21784900.0,ns,10670
day1 - part2 (fold),,,,,22812100.0,ns,11155
day1 - part2 (fold),,,,,24029100.0,ns,11640
day1 - part2 (fold),,,,,25028600.0,ns,12125
day1 - part2 (fold),,,,,25917500.0,ns,12610
day1 - part2 (fold),,,,,27181200.0,ns,13095
day1 - part2 (fold),,,,,28357300.0,ns,13580
day1 - part2 (fold),,,,,28986800.0,ns,14065
day1 - part2 (fold),,,,,30025600.0,ns,14550
day1 - part2 (fold),,,,,31054500.0,ns,15035
day1 - part2 (fold),,,,,31808000.0,ns,15520
day1 - part2 (fold),,,,,32722700.0,ns,16005
day1 - part2 (fold),,,,,34073800.0,ns,16490
day1 - part2 (fold),,,,,34863000.0,ns,16975
day1 - part2 (fold),,,,,35789300.0,ns,17460
day1 - part2 (fold),,,,,37009100.0,ns,17945
day1 - part2 (fold),,,,,37763700.0,ns,18430
day1 - part2 (fold),,,,,38677200.0,ns,18915
day1 - part2 (fold),,,,,39497700.0,ns,19400
day1 - part2 (fold),,,,,40145100.0,ns,19885
day1 - part2 (fold),,,,,41403000.0,ns,20370
day1 - part2 (fold),,,,,42499100.0,ns,20855
day1 - part2 (fold),,,,,43682200.0,ns,21340
day1 - part2 (fold),,,,,45105500.0,ns,21825
day1 - part2 (fold),,,,,46021700.0,ns,22310
day1 - part2 (fold),,,,,46622300.0,ns,22795
day1 - part2 (fold),,,,,47373900.0,ns,23280
day1 - part2 (fold),,,,,48283800.0,ns,23765
day1 - part2 (fold),,,,,49751500.0,ns,24250
day1 - part2 (fold),,,,,50386400.0,ns,24735
day1 - part2 (fold),,,,,51262100.0,ns,25220
day1 - part2 (fold),,,,,52308500.0,ns,25705
day1 - part2 (fold),,,,,53280400.0,ns,26190
day1 - part2 (fold),,,,,54228600.0,ns,26675
day1 - part2 (fold),,,,,55256100.0,ns,27160
day1 - part2 (fold),,,,,56485600.0,ns,27645
day1 - part2 (fold),,,,,57306100.0,ns,28130
day1 - part2 (fold),,,,,58157300.0,ns,28615
day1 - part2 (fold),,,,,59289300.0,ns,29100
day1 - part2 (fold),,,,,60865400.0,ns,29585
day1 - part2 (fold),,,,,61831800.0,ns,30070
day1 - part2 (fold),,,,,62340100.0,ns,30555
day1 - part2 (fold),,,,,63805400.0,ns,31040
day1 - part2 (fold),,,,,63922900.0,ns,31525
day1 - part2 (fold),,,,,65183100.0,ns,32010
day1 - part2 (fold),,,,,65813700.0,ns,32495
day1 - part2 (fold),,,,,66919900.0,ns,32980
day1 - part2 (fold),,,,,68201400.0,ns,33465
day1 - part2 (fold),,,,,68740900.0,ns,33950
day1 - part2 (fold),,,,,69588000.0,ns,34435
day1 - part2 (fold),,,,,70967900.0,ns,34920
day1 - part2 (fold),,,,,71366500.0,ns,35405
day1 - part2 (fold),,,,,72525400.0,ns,35890
day1 - part2 (fold),,,,,73484700.0,ns,36375
day1 - part2 (fold),,,,,74838500.0,ns,36860
day1 - part2 (fold),,,,,75402200.0,ns,37345
day1 - part2 (fold),,,,,76428600.0,ns,37830
day1 - part2 (fold),,,,,77964200.0,ns,38315
day1 - part2 (fold),,,,,79443200.0,ns,38800
day1 - part2 (fold),,,,,81553500.0,ns,39285
day1 - part2 (fold),,,,,82653900.0,ns,39770
day1 - part2 (fold),,,,,82478700.0,ns,40255
day1 - part2 (fold),,,,,82904000.0,ns,40740
day1 - part2 (fold),,,,,83752500.0,ns,41225
day1 - part2 (fold),,,,,85141700.0,ns,41710
day1 - part2 (fold),,,,,86260900.0,ns,42195
day1 - part2 (fold),,,,,87162400.0,ns,42680
day1 - part2 (fold),,,,,88753600.0,ns,43165
day1 - part2 (fold),,,,,88923700.0,ns,43650
day1 - part2 (fold),,,,,89714600.0,ns,44135
day1 - part2 (fold),,,,,90853300.0,ns,44620
day1 - part2 (fold),,,,,91858100.0,ns,45105
day1 - part2 (fold),,,,,93142100.0,ns,45590
day1 - part2 (fold),,,,,93558900.0,ns,46075
day1 - part2 (fold),,,,,95724200.0,ns,46560
day1 - part2 (fold),,,,,96144900.0,ns,47045
day1 - part2 (fold),,,,,97347600.0,ns,47530
day1 - part2 (fold),,,,,99082600.0,ns,48015
day1 - part2 (fold),,,,,98881800.0,ns,48500
