group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 (fold),,,,,968700.0,ns,489
day1 - part2 (fold),,,,,1978000.0,ns,978
day1 - part2 (fold),,,,,2966800.0,ns,1467
day1 - part2 (fold),,,,,3946900.0,ns,1956
day1 - part2 (fold),,,,,4943700.0,ns,2445
day1 - part2 (fold),,,,,5945800.0,ns,2934
day1 - part2 (fold),,,,,6942200.0,ns,3423
day1 - part2 (fold),,,,,7921200.0,ns,3912
day1 - part2 (fold),,,,,8872700.0,ns,4401
day1 - part2 (fold),,,,,9914700.0,ns,4890
day1 - part2 (fold),,,,,10850500.0,ns,5379
day1 - part2 (fold),,,,,11810400.0,ns,5868
day1 - part2 (fold),,,,,12842700.0,ns,6357
day1 - part2 (fold),,,,,13797000.0,ns,6846
day1 - part2 (fold),,,,,14894100.0,ns,7335
day1 - part2 (fold),,,,,15880100.0,ns,7824
day1 - part2 (fold),,,,,16755100.0,ns,8313
day1 - part2 (fold),,,,,17894400.0,ns,8802
day1 - part2 (fold),,,,,18766000.0,ns,9291
day1 - part2 (fold),,,,,19729000.0,ns,9780
day1 - part2 (fold),,,,,20619500.0,ns,10269
day1 - part2 (fold),,,,,21766500.0,ns,10758
day1 - part2 (fold),,,,,22701300.0,ns,11247
day1 - part2 (fold),,,,,23634500.0,ns,11736
day1 - part2 (fold),,,,,24625900.0,ns,12225
day1 - part2 (fold),,,,,25570800.0,ns,12714
day1 - part2 (fold),,,,,26652200.0,ns,13203
day1 - part2 (fold),,,,,27574400.0,ns,13692
day1 - part2 (fold),,,,,28632600.0,ns,14181
day1 - part2 (fold),,,,,29650500.0,ns,14670
day1 - part2 (fold),,,,,30690700.0,ns,15159
day1 - part2 (fold),,,,,33276500.0,ns,15648
day1 - part2 (fold),,,,,37634400.0,ns,16137
day1 - part2 (fold),,,,,34063900.0,ns,16626
day1 - part2 (fold),,,,,34847700.0,ns,17115
day1 - part2 (fold),,,,,36096300.0,ns,17604
day1 - part2 (fold),,,,,37169300.0,ns,18093
day1 - part2 (fold),,,,,37868800.0,ns,18582
day1 - part2 (fold),,,,,38474000.0,ns,19071
day1 - part2 (fold),,,,,39791700.0,ns,19560
day1 - part2 (fold),,,,,40509700.0,ns,20049
day1 - part2 (fold),,,,,41324000.0,ns,20538
day1 - part2 (fold),,,,,42399800.0,ns,21027
day1 - part2 (fold),,,,,43196100.0,ns,21516
day1 - part2 (fold),,,,,44626000.0,ns,22005
day1 - part2 (fold),,,,,45611400.0,ns,22494
day1 - part2 (fold),,,,,46551800.0,ns,22983
day1 - part2 (fold),,,,,47275800.0,ns,23472
day1 - part2 (fold),,,,,48329500.0,ns,23961
day1 - part2 (fold),,,,,49608300.0,ns,24450
day1 - part2 (fold),,,,,50477000.0,ns,24939
day1 - part2 (fold),,,,,51155400.0,ns,25428
day1 - part2 (fold),,,,,52140300.0,ns,25917
day1 - part2 (fold),,,,,53017300.0,ns,26406
day1 - part2 (fold),,,,,54125900.0,ns,26895
day1 - part2 (fold),,,,,55044600.0,ns,27384
day1 - part2 (fold),,,,,56279600.0,ns,27873
day1 - part2 (fold),,,,,57590200.0,ns,28362
day1 - part2 (fold),,,,,59024700.0,ns,28851
day1 - part2 (fold),,,,,59775100.0,ns,29340
day1 - part2 (fold),,,,,61047200.0,ns,29829
day1 - part2 (fold),,,,,61695400.0,ns,30318
day1 - part2 (fold),,,,,63014600.0,ns,30807
day1 - part2 (fold),,,,,64546000.0,ns,31296
day1 - part2 (fold),,,,,64694600.0,ns,31785
day1 - part2 (fold),,,,,65318400.0,ns,32274
day1 - part2 (fold),,,,,66243300.0,ns,32763
day1 - part2 (fold),,,,,67248900.0,ns,33252
day1 - part2 (fold),,,,,68103300.0,ns,33741
day1 - part2 (fold),,,,,69053500.0,ns,34230
day1 - part2 (fold),,,,,70400600.0,ns,34719
day1 - part2 (fold),,,,,70916200.0,ns,35208
day1 - part2 (fold),,,,,71908900.0,ns,35697
day1 - part2 (fold),,,,,72952300.0,ns,36186
day1 - part2 (fold),,,,,73742100.0,ns,36675
day1 - part2 (fold),,,,,75184700.0,ns,37164
day1 - part2 (fold),,,,,75803600.0,ns,37653
day1 - part2 (fold),,,,,76988200.0,ns,38142
day1 - part2 (fold),,,,,78423600.0,ns,38631
day1 - part2 (fold),,,,,79195700.0,ns,39120
day1 - part2 (fold),,,,,80296200.0,ns,39609
day1 - part2 (fold),,,,,80923700.0,ns,40098
day1 - part2 (fold),,,,,81833300.0,ns,40587
day1 - part2 (fold),,,,,82895400.0,ns,41076
day1 - part2 (fold),,,,,83784000.0,ns,41565
day1 - part2 (fold),,,,,84753800.0,ns,42054
day1 - part2 (fold),,,,,85943700.0,ns,42543
day1 - part2 (fold),,,,,87166000.0,ns,43032
day1 - part2 (fold),,,,,88092200.0,ns,43521
day1 - part2 (fold),,,,,88978600.0,ns,44010
day1 - part2 (fold),,,,,90148500.0,ns,44499
day1 - part2 (fold),,,,,90625400.0,ns,44988
day1 - part2 (fold),,,,,91824400.0,ns,45477
day1 - part2 (fold),,,,,92610500.0,ns,45966
day1 - part2 (fold),,,,,93915900.0,ns,46455
day1 - part2 (fold),,,,,95336100.0,ns,46944
day1 - part2 (fold),,,,,95891100.0,ns,47433
day1 - part2 (fold),,,,,96742400.0,ns,47922
day1 - part2 (fold),,,,,97168300.0,ns,48411
day1 - part2 (fold),,,,,98810300.0,ns,48900
