group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 - full,,,,,1072200.0,ns,9
day1 - part2 - full,,,,,2119400.0,ns,18
day1 - part2 - full,,,,,3173200.0,ns,27
day1 - part2 - full,,,,,4249100.0,ns,36
day1 - part2 - full,,,,,5323100.0,ns,45
day1 - part2 - full,,,,,6374200.0,ns,54
day1 - part2 - full,,,,,7504700.0,ns,63
day1 - part2 - full,,,,,8422500.0,ns,72
day1 - part2 - full,,,,,9588500.0,ns,81
day1 - part2 - full,,,,,10612300.0,ns,90
day1 - part2 - full,,,,,11770100.0,ns,99
day1 - part2 - full,,,,,12809100.0,ns,108
day1 - part2 - full,,,,,13820200.0,ns,117
day1 - part2 - full,,,,,15046600.0,ns,126
day1 - part2 - full,,,,,15923700.0,ns,135
day1 - part2 - full,,,,,17226500.0,ns,144
day1 - part2 - full,,,,,18093300.0,ns,153
day1 - part2 - full,,,,,19253400.0,ns,162
day1 - part2 - full,,,,,20218300.0,ns,171
day1 - part2 - full,,,,,21359300.0,ns,180
day1 - part2 - full,,,,,22422200.0,ns,189
day1 - part2 - full,,,,,23589200.0,ns,198
day1 - part2 - full,,,,,24380200.0,ns,207
day1 - part2 - full,,,,,25418500.0,ns,216
day1 - part2 - full,,,,,26596500.0,ns,225
day1 - part2 - full,,,,,27611600.0,ns,234
day1 - part2 - full,,,,,28748900.0,ns,243
day1 - part2 - full,,,,,29808500.0,ns,252
day1 - part2 - full,,,,,30899500.0,ns,261
day1 - part2 - full,,,,,31973200.0,ns,270
day1 - part2 - full,,,,,32953600.0,ns,279
day1 - part2 - full,,,,,34398900.0,ns,288
day1 - part2 - full,,,,,35253300.0,ns,297
day1 - part2 - full,,,,,36446900.0,ns,306
day1 - part2 - full,,,,,37427700.0,ns,315
day1 - part2 - full,,,,,38363100.0,ns,324
day1 - part2 - full,,,,,40228300.0,ns,333
day1 - part2 - full,,,,,40905200.0,ns,342
day1 - part2 - full,,,,,42330500.0,ns,351
day1 - part2 - full,,,,,43306100.0,ns,360
day1 - part2 - full,,,,,44294500.0,ns,369
day1 - part2 - full,,,,,45518700.0,ns,378
day1 - part2 - full,,,,,46075300.0,ns,387
day1 - part2 - full,,,,,46928800.0,ns,396
day1 - part2 - full,,,,,47945900.0,ns,405
day1 - part2 - full,,,,,49125400.0,ns,414
day1 - part2 - full,,,,,49992900.0,ns,423
day1 - part2 - full,,,,,51193200.0,ns,432
day1 - part2 - full,,,,,52149000.0,ns,441
day1 - part2 - full,,,,,52908300.0,ns,450
day1 - part2 - full,,,,,54106400.0,ns,459
day1 - part2 - full,,,,,55218900.0,ns,468
day1 - part2 - full,,,,,56388800.0,ns,477
day1 - part2 - full,,,,,57297200.0,ns,486
day1 - part2 - full,,,,,59161700.0,ns,495
day1 - part2 - full,,,,,60181000.0,ns,504
day1 - part2 - full,,,,,61279100.0,ns,513
day1 - part2 - full,,,,,62366200.0,ns,522
day1 - part2 - full,,,,,63149100.0,ns,531
day1 - part2 - full,,,,,64273400.0,ns,540
day1 - part2 - full,,,,,66295700.0,ns,549
day1 - part2 - full,,,,,66915800.0,ns,558
day1 - part2 - full,,,,,68005600.0,ns,567
day1 - part2 - full,,,,,68588300.0,ns,576
day1 - part2 - full,,,,,69305200.0,ns,585
day1 - part2 - full,,,,,70320200.0,ns,594
day1 - part2 - full,,,,,71359800.0,ns,603
day1 - part2 - full,,,,,72789900.0,ns,612
day1 - part2 - full,,,,,75119900.0,ns,621
day1 - part2 - full,,,,,75099700.0,ns,630
day1 - part2 - full,,,,,75754700.0,ns,639
day1 - part2 - full,,,,,76778800.0,ns,648
day1 - part2 - full,,,,,77771900.0,ns,657
day1 - part2 - full,,,,,78633800.0,ns,666
day1 - part2 - full,,,,,80504400.0,ns,675
day1 - part2 - full,,,,,81119200.0,ns,684
day1 - part2 - full,,,,,83384700.0,ns,693
day1 - part2 - full,,,,,84560800.0,ns,702
day1 - part2 - full,,,,,84696500.0,ns,711
day1 - part2 - full,,,,,85554000.0,ns,720
day1 - part2 - full,,,,,86638800.0,ns,729
day1 - part2 - full,,,,,87582300.0,ns,738
day1 - part2 - full,,,,,88598900.0,ns,747
day1 - part2 - full,,,,,89796900.0,ns,756
day1 - part2 - full,,,,,90249900.0,ns,765
day1 - part2 - full,,,,,91837500.0,ns,774
day1 - part2 - full,,,,,93077700.0,ns,783
day1 - part2 - full,,,,,94084600.0,ns,792
day1 - part2 - full,,,,,94842200.0,ns,801
day1 - part2 - full,,,,,96784800.0,ns,810
day1 - part2 - full,,,,,98017400.0,ns,819
day1 - part2 - full,,,,,99845600.0,ns,828
day1 - part2 - full,,,,,100111500.0,ns,837
day1 - part2 - full,,,,,100109000.0,ns,846
day1 - part2 - full,,,,,101385500.0,ns,855
day1 - part2 - full,,,,,102457500.0,ns,864
day1 - part2 - full,,,,,103591900.0,ns,873
day1 - part2 - full,,,,,105222400.0,ns,882
day1 - part2 - full,,,,,106252300.0,ns,891
day1 - part2 - full,,,,,106736600.0,ns,900
