group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 - full,,,,,1050200.0,ns,9
day1 - part2 - full,,,,,2092700.0,ns,18
day1 - part2 - full,,,,,3273200.0,ns,27
day1 - part2 - full,,,,,4278400.0,ns,36
day1 - part2 - full,,,,,5237200.0,ns,45
day1 - part2 - full,,,,,6477600.0,ns,54
day1 - part2 - full,,,,,7561100.0,ns,63
day1 - part2 - full,,,,,8601600.0,ns,72
day1 - part2 - full,,,,,9593100.0,ns,81
day1 - part2 - full,,,,,10679100.0,ns,90
day1 - part2 - full,,,,,11817200.0,ns,99
day1 - part2 - full,,,,,12759800.0,ns,108
day1 - part2 - full,,,,,13990900.0,ns,117
day1 - part2 - full,,,,,14801700.0,ns,126
day1 - part2 - full,,,,,16155700.0,ns,135
day1 - part2 - full,,,,,17203600.0,ns,144
day1 - part2 - full,,,,,18183200.0,ns,153
day1 - part2 - full,,,,,19519500.0,ns,162
day1 - part2 - full,,,,,20301100.0,ns,171
day1 - part2 - full,,,,,21095300.0,ns,180
day1 - part2 - full,,,,,22234600.0,ns,189
day1 - part2 - full,,,,,23366900.0,ns,198
day1 - part2 - full,,,,,24686400.0,ns,207
day1 - part2 - full,,,,,25249300.0,ns,216
day1 - part2 - full,,,,,26444700.0,ns,225
day1 - part2 - full,,,,,27499000.0,ns,234
day1 - part2 - full,,,,,28419300.0,ns,243
day1 - part2 - full,,,,,29551100.0,ns,252
day1 - part2 - full,,,,,30530700.0,ns,261
day1 - part2 - full,,,,,31505100.0,ns,270
day1 - part2 - full,,,,,32505000.0,ns,279
day1 - part2 - full,,,,,33803300.0,ns,288
day1 - part2 - full,,,,,35084700.0,ns,297
day1 - part2 - full,,,,,35772700.0,ns,306
day1 - part2 - full,,,,,37042500.0,ns,315
day1 - part2 - full,,,,,37730700.0,ns,324
day1 - part2 - full,,,,,39236900.0,ns,333
day1 - part2 - full,,,,,40074400.0,ns,342
day1 - part2 - full,,,,,40901700.0,ns,351
day1 - part2 - full,,,,,41968700.0,ns,360
day1 - part2 - full,,,,,43165400.0,ns,369
day1 - part2 - full,,,,,44205100.0,ns,378
day1 - part2 - full,,,,,45291600.0,ns,387
day1 - part2 - full,,,,,46378500.0,ns,396
day1 - part2 - full,,,,,47593300.0,ns,405
day1 - part2 - full,,,,,49127100.0,ns,414
day1 - part2 - full,,,,,50042300.0,ns,423
day1 - part2 - full,,,,,51234100.0,ns,432
day1 - part2 - full,,,,,52538000.0,ns,441
day1 - part2 - full,,,,,54063300.0,ns,450
day1 - part2 - full,,,,,54486300.0,ns,459
day1 - part2 - full,,,,,55808100.0,ns,468
day1 - part2 - full,,,,,56278900.0,ns,477
day1 - part2 - full,,,,,56918500.0,ns,486
day1 - part2 - full,,,,,58430500.0,ns,495
day1 - part2 - full,,,,,59568200.0,ns,504
day1 - part2 - full,,,,,61047900.0,ns,513
day1 - part2 - full,,,,,62284600.0,ns,522
day1 - part2 - full,,,,,62335800.0,ns,531
day1 - part2 - full,,,,,63373000.0,ns,540
day1 - part2 - full,,,,,64764900.0,ns,549
day1 - part2 - full,,,,,65673400.0,ns,558
day1 - part2 - full,,,,,68335200.0,ns,567
day1 - part2 - full,,,,,69686000.0,ns,576
day1 - part2 - full,,,,,70420300.0,ns,585
day1 - part2 - full,,,,,71478000.0,ns,594
day1 - part2 - full,,,,,73283400.0,ns,603
day1 - part2 - full,,,,,73439100.0,ns,612
day1 - part2 - full,,,,,74719300.0,ns,621
day1 - part2 - full,,,,,74873400.0,ns,630
day1 - part2 - full,,,,,76023300.0,ns,639
day1 - part2 - full,,,,,77046800.0,ns,648
day1 - part2 - full,,,,,77435300.0,ns,657
day1 - part2 - full,,,,,78078700.0,ns,666
day1 - part2 - full,,,,,79013600.0,ns,675
day1 - part2 - full,,,,,79774400.0,ns,684
day1 - part2 - full,,,,,81256400.0,ns,693
day1 - part2 - full,,,,,82410600.0,ns,702
day1 - part2 - full,,,,,83273100.0,ns,711
day1 - part2 - full,,,,,84692000.0,ns,720
day1 - part2 - full,,,,,85145800.0,ns,729
day1 - part2 - full,,,,,86961800.0,ns,738
day1 - part2 - full,,,,,88470900.0,ns,747
day1 - part2 - full,,,,,90591500.0,ns,756
day1 - part2 - full,,,,,92775700.0,ns,765
day1 - part2 - full,,,,,93703000.0,ns,774
day1 - part2 - full,,,,,95485500.0,ns,783
day1 - part2 - full,,,,,94453600.0,ns,792
day1 - part2 - full,,,,,95673600.0,ns,801
day1 - part2 - full,,,,,97396600.0,ns,810
day1 - part2 - full,,,,,96879900.0,ns,819
day1 - part2 - full,,,,,97675700.0,ns,828
day1 - part2 - full,,,,,98132500.0,ns,837
day1 - part2 - full,,,,,100141800.0,ns,846
day1 - part2 - full,,,,,103520900.0,ns,855
day1 - part2 - full,,,,,104929100.0,ns,864
day1 - part2 - full,,,,,111476000.0,ns,873
day1 - part2 - full,,,,,115671500.0,ns,882
day1 - part2 - full,,,,,107312000.0,ns,891
day1 - part2 - full,,,,,106559800.0,ns,900
