group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2,,,,,987800.0,ns,485
day1 - part2,,,,,1932400.0,ns,970
day1 - part2,,,,,2902600.0,ns,1455
day1 - part2,,,,,3888700.0,ns,1940
day1 - part2,,,,,4930300.0,ns,2425
day1 - part2,,,,,5841300.0,ns,2910
day1 - part2,,,,,6885600.0,ns,3395
day1 - part2,,,,,7750400.0,ns,3880
day1 - part2,,,,,8849000.0,ns,4365
day1 - part2,,,,,9719400.0,ns,4850
day1 - part2,,,,,10841400.0,ns,5335
day1 - part2,,,,,11797600.0,ns,5820
day1 - part2,,,,,12662600.0,ns,6305
day1 - part2,,,,,13712600.0,ns,6790
day1 - part2,,,,,14700300.0,ns,7275
day1 - part2,,,,,15617400.0,ns,7760
day1 - part2,,,,,16665500.0,ns,8245
day1 - part2,,,,,17561700.0,ns,8730
day1 - part2,,,,,18583200.0,ns,9215
day1 - part2,,,,,19605900.0,ns,9700
day1 - part2,,,,,20593700.0,ns,10185
day1 - part2,,,,,21460800.0,ns,10670
day1 - part2,,,,,22461600.0,ns,11155
day1 - part2,,,,,23464300.0,ns,11640
day1 - part2,,,,,24598600.0,ns,12125
day1 - part2,,,,,25591700.0,ns,12610
day1 - part2,,,,,26408100.0,ns,13095
day1 - part2,,,,,27368200.0,ns,13580
day1 - part2,,,,,28413000.0,ns,14065
day1 - part2,,,,,29327000.0,ns,14550
day1 - part2,,,,,30195200.0,ns,15035
day1 - part2,,,,,31144200.0,ns,15520
day1 - part2,,,,,32345400.0,ns,16005
day1 - part2,,,,,33229000.0,ns,16490
day1 - part2,,,,,34352700.0,ns,16975
day1 - part2,,,,,35142000.0,ns,17460
day1 - part2,,,,,36374700.0,ns,17945
day1 - part2,,,,,37192500.0,ns,18430
day1 - part2,,,,,38446900.0,ns,18915
day1 - part2,,,,,39659300.0,ns,19400
day1 - part2,,,,,40877100.0,ns,19885
day1 - part2,,,,,42508000.0,ns,20370
day1 - part2,,,,,43117200.0,ns,20855
day1 - part2,,,,,43794100.0,ns,21340
day1 - part2,,,,,44350300.0,ns,21825
day1 - part2,,,,,45107400.0,ns,22310
day1 - part2,,,,,46137500.0,ns,22795
day1 - part2,,,,,47078700.0,ns,23280
day1 - part2,,,,,47985600.0,ns,23765
day1 - part2,,,,,49068700.0,ns,24250
day1 - part2,,,,,49890500.0,ns,24735
day1 - part2,,,,,51095400.0,ns,25220
day1 - part2,,,,,51879400.0,ns,25705
day1 - part2,,,,,52761300.0,ns,26190
day1 - part2,,,,,53685000.0,ns,26675
day1 - part2,,,,,54778500.0,ns,27160
day1 - part2,,,,,55867200.0,ns,27645
day1 - part2,,,,,57126800.0,ns,28130
day1 - part2,,,,,57911000.0,ns,28615
day1 - part2,,,,,58832000.0,ns,29100
day1 - part2,,,,,59690300.0,ns,29585
day1 - part2,,,,,60459700.0,ns,30070
day1 - part2,,,,,61649800.0,ns,30555
day1 - part2,,,,,62927300.0,ns,31040
day1 - part2,,,,,63954600.0,ns,31525
day1 - part2,,,,,65034200.0,ns,32010
day1 - part2,,,,,65931300.0,ns,32495
day1 - part2,,,,,67043600.0,ns,32980
day1 - part2,,,,,68290300.0,ns,33465
day1 - part2,,,,,68954400.0,ns,33950
day1 - part2,,,,,69931500.0,ns,34435
day1 - part2,,,,,71133100.0,ns,34920
day1 - part2,,,,,72039600.0,ns,35405
day1 - part2,,,,,72920000.0,ns,35890
day1 - part2,,,,,73798200.0,ns,36375
day1 - part2,,,,,74730500.0,ns,36860
day1 - part2,,,,,75367900.0,ns,37345
day1 - part2,,,,,76868700.0,ns,37830
day1 - part2,,,,,78114000.0,ns,38315
day1 - part2,,,,,78924900.0,ns,38800
day1 - part2,,,,,79744000.0,ns,39285
day1 - part2,,,,,80738800.0,ns,39770
day1 - part2,,,,,81960400.0,ns,40255
day1 - part2,,,,,82439300.0,ns,40740
day1 - part2,,,,,84420900.0,ns,41225
day1 - part2,,,,,86070900.0,ns,41710
day1 - part2,,,,,86260000.0,ns,42195
day1 - part2,,,,,86960700.0,ns,42680
day1 - part2,,,,,87288100.0,ns,43165
day1 - part2,,,,,88243000.0,ns,43650
day1 - part2,,,,,88970400.0,ns,44135
day1 - part2,,,,,90686800.0,ns,44620
day1 - part2,,,,,91443100.0,ns,45105
day1 - part2,,,,,92172700.0,ns,45590
day1 - part2,,,,,92886800.0,ns,46075
day1 - part2,,,,,93873700.0,ns,46560
day1 - part2,,,,,95908300.0,ns,47045
day1 - part2,,,,,96730800.0,ns,47530
day1 - part2,,,,,97526700.0,ns,48015
day1 - part2,,,,,98182400.0,ns,48500
